"","qser_no","survey_year","ID","k_group","problem","relationship","gender","age","edu","education","work","marstat","children","livstat","livwhere","meet","tele","adl_who_help","iadl_who_help"
"63","B2138",1996,"B2138_95",NA,0,95,2,28,6,6,4,1,3,0,0,0,0,88,35
"64","B2161",1996,"B2161_95",NA,0,95,2,28,6,6,1,1,2,0,0,0,0,88,35
"65","B2162",1996,"B2162_91",NA,0,91,2,46,6,6,4,1,5,0,0,0,0,88,91
"66","B2168",1996,"B2168_92",NA,0,92,2,43,6,6,1,1,3,0,0,0,0,88,32
"67","B2169",1996,"B2169_91",NA,0,91,2,63,6,6,4,1,4,0,0,0,0,88,88
"68","B2178",1996,"B2178_92",NA,0,92,2,48,6,6,4,1,5,0,0,0,0,88,32
"69","B2179",1996,"B2179_92",NA,0,92,2,24,16,16,1,1,0,0,0,0,0,88,88
"70","B2198",1996,"B2198_96",NA,0,96,2,40,12,12,1,1,2,3,4,5,3,88,54
"71","B2200",1996,"B2200_92",NA,0,92,2,32,12,12,4,1,2,0,0,0,0,88,32
"72","B2237",1996,"B2237_93",NA,0,93,2,71,9,9,4,1,2,0,0,0,0,93,33
"73","B227",1996,"B227_92",NA,0,92,2,33,9,9,1,1,3,0,0,0,0,88,32
"74","B2273",1996,"B2273_91",NA,0,91,2,44,12,12,1,1,3,3,4,5,3,0,31
"75","B2298",1996,"B2298_93",NA,0,93,2,47,6,6,1,1,3,0,0,0,0,88,96
"76","B2322",1996,"B2322_92",NA,0,92,2,41,6,6,1,1,3,0,0,0,0,88,38
"77","B2365",1996,"B2365_94",NA,0,94,2,33,6,6,1,1,3,0,0,0,0,88,34
"78","B2374",1996,"B2374_91",NA,0,91,2,39,9,9,4,1,3,0,0,0,0,88,88
"79","B2414",1996,"B2414_91",NA,0,91,2,42,9,9,1,1,3,0,0,0,0,2,2
"80","B2421",1996,"B2421_91",NA,0,91,2,48,6,6,1,1,4,0,0,0,0,88,0
"81","B2437",1996,"B2437_93",NA,0,93,2,37,12,12,1,1,0,0,0,0,0,88,46
"82","B2449",1996,"B2449_93",NA,0,93,2,41,6,6,4,1,3,0,0,0,0,88,88
"83","B2457",1996,"B2457_91",NA,0,91,2,46,6,6,4,1,5,0,0,0,0,88,31
"84","B2465",1996,"B2465_92",NA,0,92,2,40,12,12,4,1,3,0,0,0,0,88,2
"85","B247",1996,"B247_91",NA,0,91,2,27,9,9,1,1,1,0,0,0,0,63,63
"86","B2488",1996,"B2488_91",NA,0,91,2,36,6,6,4,1,3,0,0,0,0,88,88
"87","B2502",1996,"B2502_93",NA,0,93,2,37,12,12,4,1,2,0,0,0,0,88,33
"88","B252",1996,"B252_92",NA,0,92,2,34,9,9,4,1,3,0,0,0,0,88,88
"89","B2546",1996,"B2546_92",NA,0,92,2,48,9,9,1,1,3,0,0,0,0,88,92
"90","B2549",1996,"B2549_93",NA,0,93,2,29,12,12,1,1,2,0,0,0,0,88,33
"91","B2552",1996,"B2552_91",NA,0,91,2,65,0,0,4,1,6,0,0,0,0,88,54
"92","B2568",1996,"B2568_92",NA,0,92,2,29,12,12,4,1,1,0,0,0,0,88,88
"93","B2576",1996,"B2576_93",NA,0,93,2,36,9,9,4,1,3,0,0,0,0,88,33
"94","B2597",1996,"B2597_91",NA,0,91,2,50,6,6,4,1,4,0,0,0,0,88,88
"95","B2605",1996,"B2605_91",NA,0,91,2,46,6,6,4,1,4,0,0,0,0,88,88
